name,category,phone,address,location,yelp_url,talking_point
Aspen Dental,Dental,,,"Ewing, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Ewing, NJ — worth fixing?"
Lin Lin Same As,Dental,(609) 737-6971,"26 Coburn Rd, Pennington, NJ 08534","Lawrence Township, NJ",,"Noticed Lin Lin Same As doesn't show up when people search for Dental in Lawrence Township, NJ — worth fixing?"
Summit Landscape & Lawn Service LLC,Landscaping,(732) 668-4732,,"Plainsboro, NJ",,"Noticed Summit Landscape & Lawn Service LLC doesn't show up when people search for Landscaping in Plainsboro, NJ — worth fixing?"
Aspen Dental,Dental,,,"Plainsboro, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Plainsboro, NJ — worth fixing?"
Aspen Dental,Dental,,,"Bordentown, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Bordentown, NJ — worth fixing?"
Paul's Painting Of Medford,Painting,(609) 320-9717,,"Bordentown, NJ",,"Noticed Paul's Painting Of Medford doesn't show up when people search for Painting in Bordentown, NJ — worth fixing?"
JF Paint Company,Painting,(267) 469-7235,"Delanco, NJ 08075","Bordentown, NJ",,"Noticed JF Paint Company doesn't show up when people search for Painting in Bordentown, NJ — worth fixing?"
Sean's Painting,Painting,(609) 877-6884,,"Bordentown, NJ",,"Noticed Sean's Painting doesn't show up when people search for Painting in Bordentown, NJ — worth fixing?"
Cetin Brothers Custom Painting,Painting,(609) 321-2575,,"Bordentown, NJ",,"Noticed Cetin Brothers Custom Painting doesn't show up when people search for Painting in Bordentown, NJ — worth fixing?"
Arch Painting,Painting,(609) 284-1185,,"Bordentown, NJ",,"Noticed Arch Painting doesn't show up when people search for Painting in Bordentown, NJ — worth fixing?"
MagicTouchCustomPaintingLLC,Painting,(609) 784-4511,,"Bordentown, NJ",,"Noticed MagicTouchCustomPaintingLLC doesn't show up when people search for Painting in Bordentown, NJ — worth fixing?"
EMS Custom Painting,Painting,(609) 923-3058,,"Bordentown, NJ",,"Noticed EMS Custom Painting doesn't show up when people search for Painting in Bordentown, NJ — worth fixing?"
Majestic Home Services,Painting,(609) 268-0777,,"Bordentown, NJ",,"Noticed Majestic Home Services doesn't show up when people search for Painting in Bordentown, NJ — worth fixing?"
NEW SEHIR PAINTING,Painting,(609) 770-1682,"602 Greenwood Ave, Delran, NJ 08075","Bordentown, NJ",,"Noticed NEW SEHIR PAINTING doesn't show up when people search for Painting in Bordentown, NJ — worth fixing?"
