name,category,phone,address,location,yelp_url,talking_point
Aspen Dental,Dental,,,"Ewing, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Ewing, NJ — worth fixing?"
Perfect Touch Interior & Exterior Contractor,Painting,,,"Ewing, NJ",,"Noticed Perfect Touch Interior & Exterior Contractor doesn't show up when people search for Painting in Ewing, NJ — worth fixing?"
Service or Repair Window AC,HVAC,(609) 256-6965,"626 Genesee St, Trenton, NJ 08611","Trenton, NJ",,"Noticed Service or Repair Window AC doesn't show up when people search for HVAC in Trenton, NJ — worth fixing?"
Lightninglike Heating & Cooling Repair,HVAC,(609) 493-7808,"910 Rev S Howard Woodson Jr Way, Trenton, NJ 08638","Trenton, NJ",,"Noticed Lightninglike Heating & Cooling Repair doesn't show up when people search for HVAC in Trenton, NJ — worth fixing?"
Roof Repair Company,Roofing,(609) 528-2742,"1070 White Horse Ave, Trenton, NJ 08610","Trenton, NJ",,"Noticed Roof Repair Company doesn't show up when people search for Roofing in Trenton, NJ — worth fixing?"
Commercial Roofing Co,Roofing,(609) 528-7876,"101 Shady Ln, Trenton, NJ 08619","Trenton, NJ",,"Noticed Commercial Roofing Co doesn't show up when people search for Roofing in Trenton, NJ — worth fixing?"
Roofing Services,Roofing,(609) 256-7498,"4165 S Broad St, Trenton, NJ 08620","Trenton, NJ",,"Noticed Roofing Services doesn't show up when people search for Roofing in Trenton, NJ — worth fixing?"
Ricky Ole Brick Pavers & Landscaping,Landscaping,(732) 940-6500,"1496 Evelyn Ave, North Brunswick, NJ 08902","Plainsboro, NJ",,"Noticed Ricky Ole Brick Pavers & Landscaping doesn't show up when people search for Landscaping in Plainsboro, NJ — worth fixing?"
Aspen Dental,Dental,,,"Plainsboro, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Plainsboro, NJ — worth fixing?"
Aspen Dental,Dental,,,"Bordentown, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Bordentown, NJ — worth fixing?"
Patriot Roofing Inc,Roofing,(609) 723-6688,"2083 Jacksonville Jobstown Rd, Jobstown, NJ 08041","Bordentown, NJ",,"Noticed Patriot Roofing Inc doesn't show up when people search for Roofing in Bordentown, NJ — worth fixing?"
Foundation Builders,Roofing,(609) 265-7748,"1135 Smithville Rd, Mount Holly, NJ 08060","Bordentown, NJ",,"Noticed Foundation Builders doesn't show up when people search for Roofing in Bordentown, NJ — worth fixing?"
Mount Holly Roof for You,Roofing,(609) 284-9213,"1301 Woodlane Rd, Mount Holly, NJ 08060","Bordentown, NJ",,"Noticed Mount Holly Roof for You doesn't show up when people search for Roofing in Bordentown, NJ — worth fixing?"
